incident_year,incident_month,incident_category,count
2019,8,Vehicle Misplaced,5
2019,8,Warrant,494
2019,8,Weapons Carrying Etc,53
2019,8,Weapons Offense,71
2019,9,Arson,34
2019,9,Assault,754
2019,9,Burglary,463
2019,9,Case Closure,40
2019,9,Civil Sidewalks,53
2019,9,Courtesy Report,42
2019,9,Disorderly Conduct,286
2019,9,Drug Offense,308
2019,9,Drug Violation,7
2019,9,Embezzlement,22
2019,9,Fire Report,17
2019,9,Forgery And Counterfeiting,52
2019,9,Fraud,389
2019,9,"Human Trafficking, Commercial Sex Acts",1
2019,9,Larceny Theft,4386
2019,9,Liquor Laws,1
2019,9,Lost Property,463
2019,9,Malicious Mischief,782
2019,9,Miscellaneous Investigation,111
